"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Branca","Feminino","Solteiro(a)",3,47,510,0,0
"Parda","Feminino","Solteiro(a)",6,18,380,0,0
"Branca","Feminino","Solteiro(a)",3,46,500,0,0
"Branca","Masculino","Solteiro(a)",3,34,510,0,0
"Branca","Feminino","Solteiro(a)",4,20,510,0,0
"Parda","Masculino","Solteiro(a)",2,18,510,0,0
"Branca","Masculino","Solteiro(a)",5,19,510,0,0
"Branca","Masculino","Solteiro(a)",5,24,510,0,0
"Branca","Masculino","Solteiro(a)",3,42,510,0,0
"Branca","Masculino","Solteiro(a)",5,22,510,0,0
"Parda","Masculino","Solteiro(a)",2,22,300,0,0
"Parda","Masculino","Solteiro(a)",3,18,510,0,0
"Parda","Masculino","Solteiro(a)",2,27,510,0,0
"Parda","Feminino","Solteiro(a)",2,24,510,0,0
"Parda","Masculino","Solteiro(a)",6,23,450,0,0
"Branca","Masculino","Solteiro(a)",4,22,510,0,0
"Parda","Feminino","Solteiro(a)",5,25,200,0,0
"Parda","Feminino","Viúvo(a)",5,51,510,0,0
"Branca","Feminino","Casado(a)",3,37,300,0,0
"Branca","Feminino","Casado(a)",2,49,450,0,0
"Parda","Feminino","Casado(a)",4,35,200,0,0
"Branca","Feminino","Casado(a)",2,48,450,0,0
"Branca","Feminino","Casado(a)",3,42,500,0,0
"Preta","Masculino","Casado(a)",5,26,510,0,0
"Preta","Feminino","Casado(a)",2,31,480,0,0
"Branca","Feminino","Casado(a)",2,54,400,0,0
"Branca","Feminino","Casado(a)",4,30,50,0,0
"Branca","Feminino","Casado(a)",6,46,490,0,0
"Branca","Masculino","Casado(a)",6,55,510,0,0
"Parda","Feminino","Casado(a)",6,39,200,0,0
"Branca","Feminino","Casado(a)",4,41,510,0,0
"Parda","Feminino","Casado(a)",5,41,350,0,0
"Branca","Feminino","Casado(a)",4,36,510,0,0
"Branca","Feminino","Casado(a)",4,38,500,0,0
"Branca","Feminino","Casado(a)",3,50,400,0,0
"Parda","Feminino","Casado(a)",3,45,500,0,0
"Parda","Feminino","Casado(a)",1,61,150,0,0
"Branca","Feminino","Casado(a)",2,64,400,0,0
"Branca","Feminino","Casado(a)",3,47,510,0,0
"Parda","Feminino","Casado(a)",4,44,510,0,0
"Branca","Feminino","Casado(a)",4,50,300,0,0
"Branca","Feminino","Casado(a)",5,43,400,0,0
"Branca","Masculino","Casado(a)",4,22,510,0,0
"Parda","Feminino","Casado(a)",6,40,510,0,0
"Parda","Masculino","Casado(a)",4,47,510,0,0
"Branca","Feminino","Casado(a)",4,49,510,0,0
"Parda","Feminino","Casado(a)",3,22,490,0,0
"Branca","Feminino","Casado(a)",6,26,300,0,0
"Branca","Feminino","Casado(a)",3,31,200,0,0
"Branca","Masculino","Casado(a)",6,61,400,0,0
"Parda","Feminino","Casado(a)",3,29,500,0,0
"Branca","Masculino","Casado(a)",5,56,400,0,0
"Parda","Feminino","Casado(a)",3,39,510,0,0
"Branca","Feminino","Casado(a)",4,42,300,0,0
"Parda","Feminino","Casado(a)",3,26,100,0,0
"Branca","Feminino","Casado(a)",3,47,510,0,0
"Preta","Feminino","Casado(a)",2,21,200,0,0
"Parda","Feminino","Casado(a)",6,36,510,0,0
"Parda","Masculino","Casado(a)",6,46,510,0,0
"Parda","Feminino","Casado(a)",4,50,228,0,0
"Branca","Feminino","Casado(a)",3,41,500,0,0
"Parda","Feminino","Casado(a)",5,31,500,0,0
"Branca","Feminino","Casado(a)",4,47,200,0,0
"Branca","Feminino","Casado(a)",4,28,400,0,0
"Branca","Feminino","Casado(a)",5,39,400,0,0
"Parda","Masculino","Casado(a)",3,35,510,0,0
"Branca","Feminino","Casado(a)",5,46,500,0,0
"Branca","Feminino","Casado(a)",4,39,280,0,0
"Parda","Feminino","Casado(a)",3,35,500,0,0
"Branca","Feminino","Casado(a)",4,62,450,0,0
"Parda","Feminino","Casado(a)",5,33,300,0,0
"Branca","Feminino","Casado(a)",6,35,200,0,0
"Branca","Masculino","Casado(a)",5,47,400,0,0
"Parda","Feminino","Casado(a)",3,41,510,0,0
"Parda","Masculino","Casado(a)",3,62,0,0,500
"Parda","Feminino","Desquitado(a)",2,37,510,0,0
"Preta","Feminino","Desquitado(a)",10,65,100,0,0
"Parda","Feminino","Desquitado(a)",4,59,510,0,0
"Branca","Feminino","Desquitado(a)",2,51,510,0,0
"Parda","Feminino","Desquitado(a)",4,63,30,0,300
"Parda","Feminino","Desquitado(a)",2,52,150,0,0
"Parda","Feminino","Desquitado(a)",4,30,500,0,0
"Branca","Feminino","Desquitado(a)",5,33,500,0,0
"Branca","Feminino","Desquitado(a)",3,53,510,0,0
"Branca","Feminino","Desquitado(a)",2,60,510,0,0
"Branca","Feminino","Divorciado(a)",3,41,500,0,0
"Branca","Feminino","Divorciado(a)",2,64,510,0,0
"Branca","Masculino","Divorciado(a)",3,45,255,0,0
"Parda","Feminino","Divorciado(a)",7,35,400,0,0
"Parda","Masculino","Divorciado(a)",2,44,510,0,0
"Branca","Feminino","Divorciado(a)",4,48,510,0,0
"Parda","Masculino","Divorciado(a)",2,59,510,0,0
"Parda","Masculino","Divorciado(a)",1,38,300,0,0
"Parda","Feminino","Divorciado(a)",3,43,300,0,0
"Parda","Feminino","Divorciado(a)",3,22,400,0,0
"Branca","Feminino","Solteiro(a)",3,30,510,0,0
"Parda","Masculino","Solteiro(a)",2,20,510,0,0
"Branca","Feminino","Solteiro(a)",3,29,200,0,0
"Parda","Feminino","Solteiro(a)",3,31,250,0,0
"Branca","Masculino","Solteiro(a)",4,27,510,0,0
"Parda","Masculino","Solteiro(a)",2,35,500,0,0
"Branca","Feminino","Solteiro(a)",5,51,120,0,0
"Branca","Masculino","Solteiro(a)",5,18,150,0,0
"Branca","Masculino","Solteiro(a)",5,42,380,0,0
"Branca","Masculino","Solteiro(a)",2,23,500,0,0
"Branca","Feminino","Solteiro(a)",3,19,500,0,0
"Parda","Feminino","Solteiro(a)",4,38,500,0,0
"Branca","Feminino","Solteiro(a)",3,20,455,0,0
"Branca","Masculino","Solteiro(a)",2,33,510,0,0
"Branca","Masculino","Solteiro(a)",7,21,510,0,0
"Parda","Feminino","Solteiro(a)",2,28,250,0,250
"Branca","Feminino","Solteiro(a)",3,46,500,0,0
